techniqueID,tactic,score,color,comment,enabled,showSubtechniques
T1134.002,defense-evasion,29,,,true,false
T1134.002,privilege-escalation,29,,,true,false
T1134.003,defense-evasion,29,,,true,false
T1134.003,privilege-escalation,29,,,true,false
T1606,credential-access,29,,,true,false
T1134,defense-evasion,124,,,true,false
T1134,privilege-escalation,124,,,true,false
T1528,credential-access,29,,,true,false
T1539,credential-access,34,,,true,false
T1134.001,defense-evasion,32,,,true,false
T1134.001,privilege-escalation,32,,,true,false
T1550.004,defense-evasion,32,,,true,false
T1550.004,lateral-movement,32,,,true,false
T1574.008,defense-evasion,3,,,true,false
T1574.008,persistence,3,,,true,false
T1574.008,privilege-escalation,3,,,true,false
T1036,defense-evasion,7,,,true,false
T1027,defense-evasion,31,,,true,false
T1562.003,defense-evasion,23,,,true,false
T1574.006,defense-evasion,23,,,true,false
T1574.006,persistence,23,,,true,false
T1574.006,privilege-escalation,23,,,true,false
T1574.007,defense-evasion,23,,,true,false
T1574.007,persistence,23,,,true,false
T1574.007,privilege-escalation,23,,,true,false
T1110,credential-access,3,,,true,false
T1552.004,credential-access,8,,,true,false
T1083,discovery,12,,,true,false
T1574.010,defense-evasion,26,,,true,false
T1574.010,persistence,26,,,true,false
T1574.010,privilege-escalation,26,,,true,false
T1040,credential-access,30,,,true,false
T1040,discovery,30,,,true,false
T1611,privilege-escalation,9,,,true,false
T1565.002,impact,10,,,true,false
T1574.005,defense-evasion,14,,,true,false
T1574.005,persistence,14,,,true,false
T1574.005,privilege-escalation,14,,,true,false
T1036.001,defense-evasion,2,,,true,false
T1553.002,defense-evasion,3,,,true,false
T1027.009,defense-evasion,8,,,true,false
T1546.004,persistence,6,,,true,false
T1546.004,privilege-escalation,6,,,true,false
T1546.016,persistence,6,,,true,false
T1546.016,privilege-escalation,6,,,true,false
T1037,persistence,6,,,true,false
T1037,privilege-escalation,6,,,true,false
T1543.001,persistence,6,,,true,false
T1543.001,privilege-escalation,6,,,true,false
T1543.004,persistence,6,,,true,false
T1543.004,privilege-escalation,6,,,true,false
T1547,persistence,14,,,true,false
T1547,privilege-escalation,14,,,true,false
T1556.006,credential-access,6,,,true,false
T1556.006,defense-evasion,6,,,true,false
T1556.006,persistence,6,,,true,false
T1562.001,defense-evasion,6,,,true,false
T1562.002,defense-evasion,6,,,true,false
T1562.004,defense-evasion,6,,,true,false
T1562.007,defense-evasion,6,,,true,false
T1562.008,defense-evasion,6,,,true,false
T1562.009,defense-evasion,6,,,true,false
T1014,defense-evasion,6,,,true,false
T1542.003,defense-evasion,6,,,true,false
T1542.003,persistence,6,,,true,false
T1547.006,persistence,6,,,true,false
T1547.006,privilege-escalation,6,,,true,false
T1080,lateral-movement,6,,,true,false
T1543,persistence,30,,,true,false
T1543,privilege-escalation,30,,,true,false
T1546.001,persistence,6,,,true,false
T1546.001,privilege-escalation,6,,,true,false
T1505.005,persistence,7,,,true,false
T1546.008,persistence,6,,,true,false
T1546.008,privilege-escalation,6,,,true,false
T1574.011,defense-evasion,6,,,true,false
T1574.011,persistence,6,,,true,false
T1574.011,privilege-escalation,6,,,true,false
T1543.003,persistence,6,,,true,false
T1543.003,privilege-escalation,6,,,true,false
T1553.004,defense-evasion,6,,,true,false
T1005,collection,9,,,true,false
T1012,discovery,1,,,true,false
T1552.002,credential-access,1,,,true,false
T1554,persistence,1,,,true,false
T1548,defense-evasion,12,,,true,false
T1548,privilege-escalation,12,,,true,false
T1557,collection,6,,,true,false
T1557,credential-access,6,,,true,false
T1505.003,persistence,5,,,true,false
T1185,collection,5,,,true,false
T1550.001,defense-evasion,5,,,true,false
T1550.001,lateral-movement,5,,,true,false
T1563,lateral-movement,5,,,true,false
T1552.001,credential-access,2,,,true,false
T1078.001,defense-evasion,2,,,true,false
T1078.001,initial-access,2,,,true,false
T1078.001,persistence,2,,,true,false
T1078.001,privilege-escalation,2,,,true,false
T1498.001,impact,6,,,true,false
T1499,impact,13,,,true,false
T1499.003,impact,3,,,true,false
T1499.001,impact,3,,,true,false
T1499.002,impact,1,,,true,false
T1027.006,defense-evasion,2,,,true,false
T1564.009,defense-evasion,2,,,true,false
T1547.009,persistence,2,,,true,false
T1547.009,privilege-escalation,2,,,true,false
T1111,credential-access,7,,,true,false
T1056.004,collection,4,,,true,false
T1056.004,credential-access,4,,,true,false
T1124,discovery,1,,,true,false
T1087,discovery,1,,,true,false
T1069,discovery,1,,,true,false
T1615,discovery,1,,,true,false
T1033,discovery,1,,,true,false
T1135,discovery,1,,,true,false
T1082,discovery,2,,,true,false
T1217,discovery,1,,,true,false
T1592,reconnaissance,1,,,true,false
T1595,reconnaissance,1,,,true,false
T1016,discovery,1,,,true,false
T1049,discovery,1,,,true,false
T1590,reconnaissance,1,,,true,false
T1007,discovery,1,,,true,false
T1120,discovery,1,,,true,false
T1018,discovery,1,,,true,false
T1057,discovery,1,,,true,false
T1036.005,defense-evasion,1,,,true,false
T1046,discovery,1,,,true,false
T1211,defense-evasion,1,,,true,false
T1542.002,defense-evasion,1,,,true,false
T1542.002,persistence,1,,,true,false
T1556,credential-access,7,,,true,false
T1556,defense-evasion,7,,,true,false
T1556,persistence,7,,,true,false
T1584.002,resource-development,1,,,true,false
T1557.002,collection,1,,,true,false
T1557.002,credential-access,1,,,true,false
T1491,impact,1,,,true,false
T1036.004,defense-evasion,1,,,true,false
T1056,collection,5,,,true,false
T1056,credential-access,5,,,true,false
T1548.004,defense-evasion,1,,,true,false
T1548.004,privilege-escalation,1,,,true,false
T1090.001,command-and-control,1,,,true,false
T1534,lateral-movement,1,,,true,false
T1566.001,initial-access,1,,,true,false
T1566.002,initial-access,1,,,true,false
T1566.003,initial-access,1,,,true,false
T1598.001,reconnaissance,1,,,true,false
T1598.002,reconnaissance,1,,,true,false
T1598.003,reconnaissance,1,,,true,false
T1566,initial-access,4,,,true,false
T1598,reconnaissance,4,,,true,false
T1550,defense-evasion,37,,,true,false
T1550,lateral-movement,37,,,true,false
T1574,defense-evasion,98,,,true,false
T1574,persistence,98,,,true,false
T1574,privilege-escalation,98,,,true,false
T1562,defense-evasion,59,,,true,false
T1552,credential-access,11,,,true,false
T1565,impact,10,,,true,false
T1553,defense-evasion,9,,,true,false
T1546,persistence,24,,,true,false
T1546,privilege-escalation,24,,,true,false
T1542,defense-evasion,7,,,true,false
T1542,persistence,7,,,true,false
T1505,persistence,12,,,true,false
T1078,defense-evasion,2,,,true,false
T1078,initial-access,2,,,true,false
T1078,persistence,2,,,true,false
T1078,privilege-escalation,2,,,true,false
T1498,impact,6,,,true,false
T1564,defense-evasion,2,,,true,false
T1584,resource-development,1,,,true,false
T1090,command-and-control,1,,,true,false
